name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
大島児童館,35.69343293,139.8401632,1,0,0,0,
大島保育園,35.6862857,139.8382855,1,1,0,1,自動ドア
大島第二保育園,35.68708337,139.8302553,1,0,1,0,
大島第三保育園,35.69279181,139.8331928,0,0,0,0,
大島第四保育園,35.68728058,139.8389706,0,0,0,0,
大島第五保育園,35.68622252,139.8320372,0,0,0,0,
わかば保育園,35.69399997,139.8442348,0,0,0,1,
大島幼稚園,35.68720151,139.8359528,1,0,0,0,
第三大島幼稚園,35.69139425,139.843766,1,0,0,0,
もみじ幼稚園,35.68894542,139.8399064,1,0,0,0,
東大島文化センター,35.6897344,139.8424112,1,1,1,1,スライドドア（各部屋）・自動ドア・授乳室・壁面収納型オムツ替えベッド・オストメイト設備（だれでもトイレ内）
大島子ども家庭支援センター,35.68735329,139.8281765,1,1,0,0,自動ドア・授乳スペース・ベビーベッド・おむつ交換台
旧第三大島中学校,35.68557841,139.8252038,0,0,0,0,
小名木川児童館,35.68211002,139.8336962,1,0,0,1,授乳スペース・オストメイト設備・ベビーベッド
東砂第二児童館,35.685999,139.841639,0,0,0,1,
北砂保育園,35.68237867,139.8217432,0,0,0,0,
小名木川第二保育園,35.68219097,139.8320373,1,1,0,0,ベビーベット
亀高保育園,35.6847877,139.8329942,0,0,0,0,
亀高第二保育園,35.68536567,139.834067,0,0,0,0,
東砂保育園,35.6851079,139.8417244,0,0,0,0,
東砂第二保育園,35.68444801,139.8429653,0,0,0,0,
東砂第三保育園,35.68214621,139.8408126,0,0,0,1,
東砂幼稚園,35.67835459,139.8391879,1,1,0,1,
なでしこ幼稚園,35.68350788,139.8340781,1,1,0,1,
スポーツ会館,35.68424245,139.8211402,1,1,1,1,自動ドア・オストメイト設備・車いす・オムツ替え
東砂スポーツセンター,35.67919751,139.8395238,1,1,1,1,車いす・自動ドア・おむつ替え
城東老人福祉センター,35.6774845,139.8319535,1,0,0,1,
南砂児童館,35.67105898,139.8232115,0,1,0,1,授乳室・ベビーベット
東砂第四保育園,35.67407505,139.8384851,0,0,0,0,
南砂第一保育園,35.67465272,139.8285419,0,0,0,1,
南砂第二保育園,35.67081697,139.8215787,0,1,0,0,
南砂第三保育園,35.67316974,139.8229825,0,0,0,0,
南砂第四保育園,35.67217086,139.8234425,0,0,0,0,
南砂第五保育園,35.67061604,139.8235925,0,1,0,1,
城東保育園,35.66986144,139.8351436,1,0,0,1,
南砂さくら保育園,35.671157,139.834861,1,1,1,1,ベビーベット
新砂保育園,35.666713,139.832839,1,1,1,1,オストメイト設備
第五砂町幼稚園,35.67146035,139.8387182,1,0,0,0,
みどり幼稚園,35.67316974,139.8229825,1,0,0,1,
江東図書館,35.67179719,139.8340536,1,0,1,1,自動ドア・オストメイト設備・ベビーベッド
南砂子ども家庭支援センター,35.66893946,139.8319349,1,1,1,1,自動ドア・授乳スペース・ベビーベッド・おむつ交換台
旧南砂西小学校,35.67192883,139.8212867,0,0,0,0,
中村中学高等学校,35.68131511,139.7964224,1,0,0,0,
ケイ・インターナショナルスクール,35.682936,139.800387,0,0,0,0,
芝浦工業大学（豊洲キャンパス）,35.66099837,139.7954423,1,0,0,1,
東京朝鮮第二初級学校,35.656447,139.804451,1,1,0,1,
ホテルイースト21東京,35.6746589,139.814485,1,1,0,0,
中央学院大学中央高等学校,35.69614861,139.8398441,1,0,0,0,
アンフェリシオン,35.69674508,139.8224186,0,0,0,0,
介護老人保健施設キーストン,35.70727081,139.8193204,1,1,0,1,
特別養護老人ホームカメリア,35.707019,139.81994,1,1,0,1,
有明西学園,35.637031,139.784382,1,1,1,1,
鈴ヶ森小学校,35.59446523,139.7353231,0,1,0,0,
鈴ヶ森中学校,35.59322043,139.7378279,0,1,0,0,
スクエア荏原,35.615441,139.70743,1,1,1,1,自動ドア・授乳室・オストメイト設備・ベビーベッド・ベビーキープ
品川学園,35.61777767,139.7374999,1,1,1,1,
